"ASV","Domain","Phylum","Class","Order","Family","Genus","Species","Confidence","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","direction"
"61fb66bad0c6d43ed328afabfb3a17c2","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__UBA11471","g__Caccoplasma","s__","1.0000000",4.05641253598841,-2.09288201475505,0.511176322686749,-4.09424678309596,4.23543007357405e-05,0.00148240052575092,"Depleted"
"e79796dfc35a010e73fba85930ef19b1","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Oscillospiraceae_88309","g__Faecousia","s__Faecousia sp000434635","0.9973042",3.65422817235498,-2.04433265250952,0.458333144823755,-4.46036398544914,8.18205726539664e-06,0.000488516948492799,"Depleted"
"a0bc2fcf42a74bebbac68739ef666241","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Tannerellaceae","g__Parabacteroides_B_862066","s__Parabacteroides_B_862066 johnsonii","0.9951350",5.02396132770962,-2.04099350457932,0.554488937615535,-3.68085522743914,0.000232452966991054,0.00582567312335604,"Depleted"
"92786b4be3790696a63ee90c964e38e3","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Prevotella.2","s__","0.9993050",2.74246425135678,-2.00409390141924,0.506766029225293,-3.95467293749535,7.66394198905642e-05,0.00243090659965383,"Depleted"
"692d2c7faf8482398a2cdfee529c0292","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Oscillospiraceae_88309","g__Faecousia.1","s__","0.9992423",5.38610588865293,-2.00402577620751,0.520171432406523,-3.85262559871094,0.000116858001238336,0.00329474642380307,"Depleted"
"7152ff3cd400532396d77ce2f7420044","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Acutalibacteraceae","g__CAG-177","s__","0.9999326",2.56266142859461,2.02329367190066,0.385774744925038,5.24475409164956,1.56490904690373e-07,1.86868550894975e-05,"Enriched"
"9af23e11bd9d41fb70237f39e7cc206c","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__CAG-272","g__RUG13077","s__","0.9801510",1.69411528207427,2.03576756788423,0.33348261546915,6.10456879444906,1.03078586463693e-09,2.32499478356996e-07,"Enriched"
"2b2c7975b709e726dab1eb4961f3be5a","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Lachnospirales","f__Lachnospiraceae","g__CAG-632","s__CAG-632 sp900539185","1.0000000",1.42812440305155,2.10320398824475,0.300993924096628,6.98752971362159,2.7976833590331e-12,1.4198243047093e-09,"Enriched"
"331f2ec22bdddcd21d006d8ab989d697","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Oscillospiraceae_88309","g__Faecousia.2","s__Faecousia sp000434635","0.9971680",4.159205300071,2.16494738604909,0.453401375451107,4.7749025549274,1.79794292144182e-06,0.000140377851174111,"Enriched"
"24702fc35566f3d39a2bdc4d27386c69","d__Bacteria","p__Actinomycetota","c__Actinomycetes","o__Actinomycetales","f__Bifidobacteriaceae","g__Bifidobacterium_388775",NA,"0.9999970",118.100152115258,2.23635210931197,0.676799082924339,3.30430723937902,0.000952114258928186,0.015298387234063,"Enriched"
"a2c2b01479011f18219d383177eb3432","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Prevotella.3","s__Prevotella rara","1.0000000",4.77937343933187,2.24820082970052,0.466324165160439,4.82111157359178,1.42760477064657e-06,0.000120751570183855,"Enriched"
"c28094903e165d3e6292b8e8efd4de68","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__CAG-272","g__RUG13077.1","s__","0.9999782",4.94653269816763,2.26727834926323,0.423935779240983,5.34816465202013,8.88506183007003e-08,1.20244503433614e-05,"Enriched"
"ec99efb1580a19684f3e52bc5ed7a7f5","d__Bacteria","p__Bacillota_I","c__Bacilli_A","o__RF39","f__UBA660","g__CAG-302","s__","0.9998328",5.4734596344705,2.32240152829965,0.480352541333508,4.83478555531823,1.33289243854505e-06,0.000119487962643044,"Enriched"
"324f7ecf9f6ab4d262b64acc57a52590","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__UBA7173","s__UBA7173 sp900540205","0.9520064",1.60232781271609,2.49753479943493,0.313981770372921,7.9543942836827,1.80010002784174e-15,3.65420305651873e-12,"Enriched"
"055183fdb602053066474eeb7e6938b9","d__Bacteria","p__Bacillota_A_368345","c__Clostridia_258483","o__Oscillospirales","f__Ruminococcaceae","g__Porcipelethomonas","s__Porcipelethomonas ammoniilytica","0.9996662",7.70041840668407,2.5854105020741,0.510040564831301,5.06902917208014,3.99849947853699e-07,4.27208102180531e-05,"Enriched"
